mag,lat,lng
3.6,-150.6127,60.8328
1.72,-121.2663345,36.6518326
1.35,-95.88366667,36.19783333
1.83000004,-155.483505249023,19.1683330535889
2.38,-66.9275,17.808
3,-97.4806,38.6532
2.08,-66.9545,17.9521666666667
2.1400001,-155.390167236328,19.2430000305176
2.18,-66.8621666666667,17.9778333333333
1.17,-122.8108368,38.8263321
1.21,-122.8043365,38.8330002
1.67,-117.446,34.1381667
1.44,-122.4508362,37.9898338
1.18,-122.8111649,38.8395004
1.81,-115.589,32.8125
1.95,-66.9548333333333,17.9426666666667
1.23,-122.7498322,38.7981682
5,-177.1561,-30.4823
1,-122.7661667,38.8203316
1.03,-122.7633362,38.8195
2.00999999,-155.422836303711,19.2141666412354
1.78,-122.7655029,38.8180008
3.8,-170.0887,52.2532
1.24,-110.3226667,39.4275
2.47,-66.9568333333333,17.9503333333333
2.1,-151.2808,60.986
1.07,-122.8150024,38.8293343
1.4,-148.9189,61.8198
3.6,-156.8853,54.6373
1.58,-110.309,39.4163333
1.61,-121.7764969,37.4463348
5.5,145.8055,-54.1448
1.5,-151.0953,60.1485
1.73,-110.3096667,39.4183333
2.33,-155.386505126953,19.2441673278809
2.27,-155.385833740234,19.2406673431396
2.1,-151.2951,62.5724
3.6,-155.3855,19.245
1.3,-150.0894,63.0466
1.95,-66.8436666666667,17.9396666666667
2.25,-155.390670776367,19.2238330841064
1.03,-116.8641667,34.3375
4,175.1266,-40.2584
1.7,-151.7051,62.9511
1.57,-110.2863333,39.4135
2.1,-118.987,34.0621667
1.7,-152.8228,59.4557
2.23,-67.4098333333333,18.2076666666667
2.06999993,-155.370834350586,19.1933326721191
1.62,-122.8288345,38.8373337
2.56,-155.371337890625,19.2096672058105
1.4,-115.1714,37.3298
4.8,126.5404,26.8735
2.21,-119.5263333,38.5483333
4.3,-66.2242,-22.8813
4.2,70.4874,36.1122
1.2,-149.0425,62.3551
3.1,-174.2791,52.3287
1.90999997,-155.473495483398,19.1561660766602
4.3,-60.2253,14.0303
1.1,-145.7176,62.2363
1.08,-122.7648333,38.7951667
4.4,126.577,26.8194
4.2,-14.4821,70.5717
1.5,-150.8408,63.5196
2.19,-155.432830810547,19.2066669464111
1.4,-149.4056,62.9176
1.4,-148.3864,62.3916
1.78,-67.096,18.0033333333333
1.5,-150.721,61.9722
2.03999996,-155.474334716797,19.1826667785645
2.51,-66.8516666666667,17.9045
1.8,-151.3546,63.0602
1.1,-151.4298,63.4222
1.71000004,-155.498336791992,19.2779998779297
2.22,-66.859,17.9281666666667
2.1,-155.472839355469,19.150333404541
2.06,-154.967666666667,19.6736666666667
1.48,-121.489,40.3648333
1.63,-66.9718333333333,17.8976666666667
1.33,-117.6821667,35.859
1,-118.0089,38.1533
2.1,-151.6046,60.6654
1.85000002,-155.479995727539,19.175500869751
1.91,-66.9975,17.9716666666667
4.3,126.5701,26.8324
0.97,-115.598,32.821
4.1,-71.1156,-19.9643
1.5,-149.6666,62.8839
1.9,-110.3025,39.4198333
1.7,-117.7047,39.6893
1.5,-146.8351,61.2866
1.61,-155.651,19.4886666666667
4.3,126.5675,26.8161
1.95,-67.0285,17.9606666666667
1.2,-150.7022,60.6891
1.43,-155.471833333333,19.1518333333333
1.54,-155.6545,19.4836666666667
1.18,-122.810997,38.8400002
1.83,-119.8403333,35.8518333
1.9,-155.474334716797,19.3658332824707
1.64,-119.8538333,35.8345
4.5,-14.3298,70.6557
1.8,-119.8541667,35.8425
1.4,-146.1806,62.0213
1.71,-155.6545,19.4883333333333
1.07,-122.8576667,38.83
1.02,-121.7928333,37.501
2.41,-123.7551667,40.9171667
1.8,-117.8221,38.1797
3.85,-68.4761,18.1316
2.3,-104.4149247,31.68590477
1.93,-89.773,36.0875
1.9,-152.2431,60.5101
1.3,-152.4456,60.7575
1.5,-143.001,60.5125
2.1,-66.7211666666667,17.9593333333333
1.22,-115.606,32.8103333
1.33,-115.5916667,32.8265
1.35,-115.6006667,32.8118333
1.38,-115.6483333,33.2355
1.32,-115.5995,32.824
1.89,-121.8665,41.5268333
2.09,-155.377502441406,19.2193336486816
1.88,-155.370834350586,19.2134990692139
1.24,-98.73266667,36.48566667
1.1,-147.8595,64.5021
2.1,-152.7907,60.0022
2.76,-155.346664428711,19.1628341674805
2.68,-155.373001098633,19.2193336486816
2.2,-150.2598,61.1601
1.22,-110.3053333,39.4181667
1.4,-119.512,38.5444
1.14,-116.2616667,32.9383333
1.4,-115.6066667,32.7946667
4.6,-74.168,18.7505
1,-149.7285,61.567
1,-153.9965,63.4158
1.38,-115.5985,32.8188333
1.17,-110.2921667,39.4111667
2.01999998,-155.48567199707,19.1889991760254
4.9,-177.9927,-33.5178
2.4,-151.524,59.338
1.84000003,-155.481506347656,19.158332824707
1.8,-148.1435,62.1269
1.74,-110.282,39.4096667
1.23,-119.1403333,34.4331667
1.07,-117.1551667,34.0285
1.33,-122.824,38.8145
1.14,-122.8201675,38.8373337
5.1,-25.7196,-58.9827
4.5,128.6295,24.6133
1,-117.9587,38.1545
2.84,-120.8196667,36.2478333
1.9,-151.7819,61.8666
1.77,-110.3023333,39.4161667
1.5,-151.5637,63.3754
2.53,-66.9275,17.9818333333333
1.26,-176.552666666667,51.903
2.03999996,-155.498992919922,19.183500289917
1,-119.0685,38.2466
1.93,-155.474334716797,19.1666660308838
1.84000003,-155.467666625977,19.1520004272461
4,-14.097,70.6979
1.21,-97.48833333,36.15366667
4,90.4624,50.3391
2.31,-120.8515,36.0205
1.9,-147.4729,60.5335
2.82,-119.0768333,38.2285
1.98000002,-155.388336181641,19.2171669006348
1.9,-147.6591,61.2311
1.8,-147.6938,63.4586
1.62,-118.8151667,37.4783333
0.98,179.533333333333,51.9311666666667
4.5,-178.6557,-21.8783
2.5,-153.4697,59.8872
1.5,-147.4703,64.9838
1.7,-148.2951,60.6894
1.6,-149.9755,61.7773
0.96,-117.2011667,34.0096667
1.45,-110.3125,39.4201667
4.4,-13.8863,70.6625
1.29,-117.2016667,34.0108333
4.7,53.2823,27.2084
5.1,-25.6976,-59.0894
1.63,-110.2928333,39.414
1.09,-115.5991667,33.1916667
1.85000002,-155.369506835938,19.2011661529541
3.2,-159.7597,54.5198
1.3,-119.5156,38.5148
1.84000003,-155.392837524414,19.2198333740234
1.72,-114.992,33.0528333
1.23,-116.5146667,33.5203333
1.18,-116.4773333,33.482
5.2,-177.8991,-30.0916
4.2,-176.762,51.7412
1.52,-116.9486667,32.904
4,-176.6322,51.1878
1.57,-122.1765,38.1151667
1.8,-150.3618,61.6172
1.01,-117.3173333,34.114
2.15,-66.9358333333333,17.9526666666667
1.72,-95.528,35.10016667
1.3,-151.8689,60.6727
1.49,-118.3251667,35.0453333
1.6,-120.6045,36.0323333
1.79,-123.01416666666667,44.0365
1.3,178.3891,52.0051
3.3,-128.835,44.1203
1.61,-110.3101667,39.4171667
0.96,-122.8526688,38.8288345
2.87,178.3565,52.0791666666667
1.27,-118.1951667,34.998
1.21,-110.3168333,39.4225
1.69,-97.24266667,34.5235
3.18,-155.378833333333,19.2386666666667
1.28,-118.9516667,34.867
4.3,133.8914,-19.7471
4.4,143.177,37.0717
0.95,-121.3075,36.6666667
1.9,-140.0032,60.3803
1.86,-95.53116667,35.09966667
4.9,-73.0095,6.8116
2.81,-119.074,38.2331667
5.3,125.7467,2.7495
4.6,122.9961,24.1534
3.9,-176.5921,50.8878
5.4,-102.8049,-35.9025
1.3,-119.503,38.5054
1.56,-96.85083333,34.38266667
2.5,-162.988,65.3005
4.9,130.5771,-5.9336
1.4,-150.4328,62.0526
4.5,154.0845,48.4642
4.1,-74.1171,18.8198
4.8,137.2732,37.5193
1.86,-110.2858333,39.412
2.7,-102.0785299,32.42706299
2,-97.70283333,34.96183333
3.34,-65.0133333333333,18.9413333333333
0.95,-116.8506667,34.2063333
1.1,-117.8049,38.1769
1.8,-151.4727,59.8801
1.48,-121.136,35.6948333
1.12,-122.8166656,38.8356667
3.54,-119.08,38.2258333
1.4,-151.6551,60.4816
1.6,-149.6251,63.4645
1.45,-117.5511667,35.7436667
1.48,-116.7226667,33.949
1.18,-122.8099976,38.8344994
1.6,-97.62716667,34.6645
2.07,-155.369171142578,19.2236671447754
1.1,-118.0268,38.1317
2.69,-155.368,19.2321666666667
1.19,-119.3111667,34.4146667
1.54,-110.306,39.4206667
1.7,-122.7215,38.7796667
1.14,-119.294,34.4181667
1.86,-122.2895,38.5666667
1.8,-151.3443,63.1171
1.2,-147.3742,61.4437
4.8,101.4456,37.7354
1.23,-97.75466667,34.8885
1.12,-116.4835,33.4635
1.9,-153.1233,59.3878
2.32,-66.9456666666667,18.0743333333333
2.53,-155.475666666667,19.1545
2.28,-155.414169311523,19.2141666412354
1.28,-117.4813333,35.6905
2.15,-66.8423333333333,17.9733333333333
2.9,-102.3368426,31.94641113
2.74,-66.8578333333333,17.9015
1.7,-149.6592,61.7768
1.1,-149.0838,64.8626
1.87,-155.347503662109,19.3336658477783
1.77,-111.488,42.587
1.2,-117.7913,38.9284
1.99000001,-155.494338989258,19.1685009002686
2.22,-155.481170654297,19.1771659851074
1.7,-145.4967,61.296
1.05,-122.8143311,38.8306656
1.1,-149.0038,64.6724
1.3,-117.934,38.1604
2.08,178.336333333333,52.0621666666667
1.83000004,-155.404830932617,19.2348327636719
4.9,144.4153,42.0785
1.09,-117.6376667,36.0773333
2.1,-153.1789,59.7134
1.6,-149.6684,61.7951
2.43,-66.2023333333333,18.3433333333333
1.8,-151.8121,62.8075
2.15,-122.8141667,38.8298333
1.59,-117.5941667,35.7771667
1.38,-121.8271667,37.4968333
1.6,-120.057,35.8958333
1.4,-151.4928,62.5928
1.53,-155.486,19.144
2.41,-155.406494140625,19.2434997558594
1.55,-121.5185,40.4726667
1.91,-119.6715,33.973
2.02,-90.4011667,37.3711667
1.3,-150.6864,61.1522
2.33,-155.393829345703,19.2278327941895
3.33,-155.476333333333,19.1628333333333
1.95,-122.5945,45.036833333333334
2.06,-67.0011666666667,17.956
1.5,-148.1254,62.1865
1.4,-149.8017,61.8155
2.18,-155.46516418457,19.1665000915527
1.8,-151.1137,61.8915
1.34,-89.514,36.2923333
1.17,-97.79,36.84983333
2.72,-66.8076666666667,17.9808333333333
1.8,-147.3354,65.9159
4.4,116.5855,-8.2488
3.34,-155.514,19.1843333333333
2.03,178.308,52.0431666666667
1.41,-155.3745,19.1981666666667
1.04,-95.54283333,35.114
6.1,-178.4313,-20.3797
1.1,-121.8421667,37.4923333
1.02,-122.7815018,38.8051682
1.23,-122.8153333,38.8301667
3.17,-67.508,17.8898333333333
1.04,-117.4751667,34.2245
2.36,-155.474670410156,19.1784992218018
1.6,-149.3353,62.8917
1.5,-117.7759,38.1862
3.1,-104.4121362,31.67535254
1.14,-122.1991667,37.8776667
1.08,-122.805336,38.8199997
2.36,-122.7788333,38.804
1.12,-122.0365,37.8346667
2.31,-155.406829833984,19.2216663360596
2.5,-66.8411666666667,17.9725
1.2,-150.9061,63.1602
4.5,122.3745,-8.0046
1.6,-117.4883333,35.6605
1.8,-118.0812,37.8808
2.19,-155.421493530273,19.2098331451416
2.8,-126.3753,40.4037
1.6,-144.0461,61.5217
3.71,-68.4938,18.9825
2.06999993,-155.394668579102,19.1928329467773
1.5,-117.5822,37.2848
1.5,-147.5514,60.7662
1.86000001,-155.459671020508,19.2131671905518
1.69,-155.426166666667,19.2298333333333
2.3,-111.8491667,44.6913333
3.1,-140.2424,60.9718
1.5,-151.5182,63.088
5,66.1569,-13.7855
4.2,-72.603,-15.3699
1.4,-147.1359,62.0393
4.4,20.4665,40.7766
2.31,-155.410827636719,19.2224998474121
2.23000002,-155.387832641602,19.2423324584961
4.4,142.2513,37.9771
2.21,-66.9403333333333,18.0265
1.89,-176.54,51.8946666666667
1.80999994,-155.429672241211,19.2606658935547
1.27,-120.63683333333333,46.8455
2.01,-155.5975,19.4331666666667
1.6,-149.3872,61.8612
1.9,-150.3933,63.1979
1.24,-117.2128333,34.0035
1.2,-147.991,65.3515
4.4,100.2288,51.2856
1.4,-151.5238,62.0002
2.02999997,-155.494827270508,19.1491661071777
2.7,-104.331,31.6702
1.28,-116.601,33.437
2.12,-155.452333333333,19.1961666666667
1.71,-154.985000610352,19.412166595459
1.5,-149.78,61.796
1.6,-147.4683,65.3175
4.8,-134.4768,70.3862
4.3,127.4568,4.9691
1.32,178.380333333333,52.039
4.4,70.2539,36.4389
2.24,-155.488830566406,19.1749992370605
1.12,-122.7968369,38.8191681
1.8,-68.123,46.7148
3,-165.9049,54.0667
1.77999997,-155.373336791992,19.1401672363281
1,-151.374,61.0364
1.9,-118.8178333,34.5645
1.18,-113.7148333,47.3788333
1.47,-122.7683333,38.7865
6,-24.8859,-58.7354
1.1,-122.7098312,38.7683334
1.12,-122.711998,38.770668
1.4,178.337,52.0475
4.1,-67.2942,-24.3084
1.87,-116.7185,33.7055
1.24,-122.712,38.7705
1.80999994,-155.468170166016,19.1585006713867
1.9,-149.7962,61.5941
2.16,-66.878,17.9163333333333
1.4,-150.8619,63.5972
2.03,-155.642666666667,19.4938333333333
1.74,-117.4855,35.6615
1.17,-117.2135,34.0178333
2.03,-118.4841667,37.6368333
1.87,-155.503997802734,19.1823329925537
1.5,-119.4394,38.5416
0.95,-117.5878333,35.7715
1.6,-151.2458,62.8622
4.1,-66.9608,-23.1239
1.62,-121.8708333,37.4933333
2.6,-153.1856,59.7535
2.16,-117.5881667,35.7676667
1.25,-117.628,35.2191667
4.15,-64.7268,19.6006
1.6,-117.5789,37.279
1.77,-97.8455,36.1005
1.8,-66.9403333333333,17.9933333333333
1.12,-117.7131667,35.9223333
1.51,-116.7176667,33.7046667
1.83,-155.007827758789,19.3438339233398
2.38,178.334833333333,52.0503333333333
1.24,178.401833333333,52.0396666666667
2.49,178.294,52.0158333333333
1.9,-152.6071,59.8633
1.2,-148.2069,61.5318
2.3,-145.4383,63.349
1.89,-66.7905,18.0321666666667
1.13,-116.7161667,33.7051667
2.17,-66.8023333333333,17.998
1.1,-149.5303,62.3358
1,-116.7186667,33.7111667
1.5,-150.5923,60.2432
2.29,-66.7538333333333,18.0148333333333
1.5,-147.3061,63.3983
4,-71.672,-15.9071
2,-155.384170532227,19.1986675262451
1.52,178.329,51.9601666666667
1.4,-150.9311,60.8113
1.2,-118.4505,38.0524
1.82,-115.2028333,44.452
1.1,-148.4158,66.0333
2.4,-151.5345,62.5848
1.5,-150.7481,62.6913
1.59,-97.74966667,34.87483333
1.70000005,-155.400329589844,19.1918334960938
1.25,-118.8166667,34.5633333
4.4,120.6695,-7.9437
1.05,-97.729,34.8855
3.9,-151.2083,62.1566
1.8,-121.3396667,40.205
3.02,-155.490333333333,19.1618333333333
2.22,-66.8683333333333,17.9261666666667
2.15,-98.2945,36.23833333
1.99000001,-155.387496948242,19.2111663818359
2.05,-122.8676667,38.8283333
1.6,-144.506,63.1406
1.57,-116.9381667,33.965
1.1,-110.9463333,44.4783333
1.83000004,-155.476501464844,19.1586666107178
5.5,-68.8277,-28.5653
1.4,-149.7257,64.6209
1.71,-115.1823333,44.4325
4.6,29.8224,-0.1512
1.6,-146.5092,61.7362
1.8,-147.3022,63.4122
0.97,-122.7941666,38.8195
1.46,-115.5741667,33.2236667
1.28,-116.7541667,33.8193333
1.19,-116.7531667,33.8223333
2.2,-66.8975,17.9205
2.23,-66.866,18.1546666666667
1.06,-117.1586667,34.0286667
1.79,-118.8428333,37.4945
1.1,-122.817337,38.8330002
1.47,-122.8045,38.8336667
5.1,-179.4665,-30.8988
1.90999997,-155.499328613281,19.1685009002686
2.45,-155.962666666667,19.5815
1.68,-122.804,38.8328333
1.39,-112.4426667,38.0871667
1.89999998,-155.414337158203,19.2369995117188
1.6,-177.4664,51.8535
1.4,-146.134,61.5581
1.51,-117.1565,34.0235
2.33999991,-155.504669189453,19.1791667938232
1.03,-116.8231667,33.7143333
1.1,-116.8263333,33.7155
4.5,167.4907,-45.0699
2.04,-66.9431666666667,17.952
1.08,-116.9005,33.3246667
1.5,-149.7529,64.6237
1.03,-110.2601667,44.6141667
2.7,-155.8532,56.5571
2.29,-66.9583333333333,17.9481666666667
1.3,-150.3192,63.0246
2.14,-122.744,38.7818333
2.69,-122.745,38.7798333
1.49,-174.253,52.0465
1.6,-151.5716,61.4448
1.76999998,-155.40299987793,19.2436676025391
0.95,-122.8103333,38.838665
4.5,122.2398,24.843
0.97,-117.5646667,36.027
5.5,-95.0836,16.9706
2.9,-104.4148741,31.68038997
2.16,-118.3205,34.3695
1.19,-122.855835,38.8230019
1.86,-66.9476666666667,17.9741666666667
1.95,-117.4856667,34.206
1.63,-119.2986667,37.385
5,-176.3623,-22.5851
4.7,-29.1677,40.6814
4,-69.041,-21.3949
1.6,-152.497,59.392
2.09,-67.0195,17.9516666666667
1.90999997,-155.475997924805,19.167667388916
1.1,-67.2579,44.641
2.8,-152.089,62.1441
1.59,-122.8165,38.8066667
5.1,130.1198,28.0138
2.06,-66.91,17.9616666666667
1.54,-121.296,35.774
1.76,-117.639,35.8331667
1.08,-95.5285,35.11066667
1.4,-147.2949,64.9172
1.4,-147.9671,65.2343
1.22,-117.4588333,35.6386667
1.19,-122.8563309,38.8260002
1.41,-122.8545,38.827
1.85000002,-155.476669311523,19.1548328399658
1.7,-122.8546667,38.827
1,-112.0663333,41.676
2.12,-66.8975,17.9456666666667
2,-149.4711,63.2665
1.18,-116.2488333,34.7113333
1.84,-121.0718333,36.4958333
2.24000001,-155.481170654297,19.1453342437744
4.8,126.0575,3.5839
1.13,-122.7105026,38.7683334
3,-155.3058,55.4716
1.09,-116.7878333,33.6838333
0.99,-122.793335,38.8073349
1.23,-117.5621667,36.03
5,-173.7901,-21.6167
1.31,-121.0631667,36.6188333
2.04999995,-155.470169067383,19.1916675567627
1.2,-118.3758,38.2474
1.5,-145.4025,63.3545
1.8,-121.6885,37.5255
1.25,-117.5963333,35.7811667
1.85,-119.019,34.1155
3.8,138.8724,-35.0915
2,-151.3892,62.6356
2.55,-66.8876666666667,18.0091666666667
1.84000003,-155.474670410156,19.1648330688477
4.5,-174.2584,-16.8919
1.1,-121.1215,36.6221667
1.54,-89.4793333,36.2705
1.93,178.452166666667,52.0575
4.5,145.0394,13.8269
1.53,-177.4745,51.8583333333333
1.02,-117.1561667,34.0236667
1.47,-117.156,34.0253333
1.99,-66.7561666666667,18.14
1.18,-117.1576667,34.0336667
3.44,178.2805,51.9811666666667
1.12,-98.73566667,36.478
1.44,-117.1558333,34.0268333
2,-150.794,62.9904
1.86,-67.014,17.9765
1.8,-151.1158,62.561
4.2,-66.8189,-22.8227
1.01,-122.19066666666667,46.19716666666667
2.4,-159.6537,54.4625
1.15,-116.3848333,33.3455
3.74,-65.5498,19.5378
1.90999997,-155.472671508789,19.1838340759277
1.9,-153.012,60.1362
1.54,-117.119,34.3101667
2.1,-150.7965,60.5176
1.08,-122.7448349,38.7791672
1.7,-148.7396,64.824
1.24,-97.20016667,35.99266667
2.02,-155.592834472656,19.406665802002
1.1,-116.5498333,33.9783333
1.13,-122.7963333,38.8158333
1.6,-147.2911,63.5865
2.3,-155.470169067383,19.179666519165
2,-117.6103,39.2143
2,-153.5155,59.3858
2.9,-115.0848,44.2391
1.6,-152.7378,63.5073
1.3,-150.5984,63.2108
2.6,-115.0934,44.2717
4.8,127.1281,1.368
1.6,-151.2099,61.5862
3.22,-121.1181667,36.5286667
0.97,-122.8291667,38.8115
4.09,-65.1033,19.0103
2.24,-67.2451666666667,18.1388333333333
4.5,101.6785,22.3188
1.1,-117.8823,38.1836
5.1,99.0195,2.6736
1.8,-145.35,63.332
1.1,-118.9326667,34.8373333
1.8,-149.7105,60.6053
1.05,-117.6515,33.8048333
1.57,-66.997,17.9425
1.21,-122.7996667,38.826
1.89999998,-155.433334350586,19.2418327331543
2.3,-66.8386666666667,17.9618333333333
1,-117.8742,38.1618
1.1,-117.8925,38.1625
1.79,-66.8835,17.8916666666667
5.5,95.0557,4.6572
2.02,-115.0788333,44.1928333
1.88,-67.0008333333333,17.9493333333333
1.7,-152.3339,59.7911
2.03,-115.0835,44.1983333
1.34,-117.1576667,34.0291667
1.5,-149.8765,61.5444
1.56,-118.3928333,35.5148333
1.02,-121.3801667,36.721
1.17,-112.21,38.5515
1.04,-117.1593333,34.0281667
2.16,-66.8166666666667,17.9186666666667
3.27,-118.384,35.5136667
2.21,-66.8621666666667,17.9766666666667
2.53,-120.6948333,36.527
1.38,-117.1561667,34.0293333
2.2,-141.0164,61.5656
1.82000005,-155.480499267578,19.19700050354
1.45,-117.157,34.0268333
1.9,-150.645,63.3052
1.67,-117.8716667,36.1208333
1.3,-150.2186,63.177
1.95,-115.5308333,32.6935
1.6,-115.5328333,32.7018333
4.4,-178.1984,-18.0148
0.97,-117.1545,34.0273333
3.02,-155.524,19.198
2.16,-66.8948333333333,17.9268333333333
2.55,-66.8341666666667,18.0081666666667
2.13000011,-155.47233581543,19.1625003814697
1.04,-116.7391667,33.828
1.1,-117.1581667,34.0286667
1.25,-117.1573333,34.0283333
1.21,-116.7408333,33.8301667
2.1,-152.2718,60.2358
1.8,-147.0658,63.5198
2.1,-174.8158,51.5737
5.1,-74.1236,-10.56
1.85000002,-155.51432800293,19.1900005340576
1.2,-150.7121,61.9707
2.1,-143.552,62.8831
1.05,-117.1561667,34.0253333
1.25,-116.3366667,33.2645
1.6,-117.9106,38.1569
2.1099999,-155.378326416016,19.1446666717529
2.9,-148.9435,63.4768
1.5,-117.5816,37.2735
1.3,-117.6548333,33.8065
1.4,-121.0215,36.4205
1.3,-118.4316,38.0642
1.3,-150.347,62.9522
2.04999995,-155.473999023438,19.1593341827393
1.62,-121.1333333,35.6933333
1.52,-116.9361667,33.9516667
1.88,-110.3323333,43.1655
2.1,-149.7363,62.2999
1.08,-117.7278333,35.9165
1.1,-118.3606,38.2378
1.16,-176.5995,51.8808333333333
2,-153.9754,59.5634
1.65,-118.8215,34.5523333
5,-23.7089,-58.4502
